,id,smoker_pred,smoker_prob
0,159256,1,0.5155341
1,159257,0,0.22195992
2,159258,0,0.36999223
3,159259,0,0.027874734
4,159260,1,0.5881522
5,159261,1,0.8657936
6,159262,0,0.435282
7,159263,0,0.11562249
8,159264,0,0.14016093
9,159265,0,0.031602025
10,159266,1,0.5597723
11,159267,0,0.1919793
12,159268,0,0.003618067
13,159269,0,0.14054886
14,159270,0,0.0054536876
15,159271,1,0.62016636
16,159272,1,0.8191394
17,159273,1,0.6869407
18,159274,0,0.08231919
19,159275,0,0.4470576
20,159276,0,0.47173262
21,159277,1,0.87983465
22,159278,1,0.6119762
23,159279,1,0.7181811
24,159280,0,0.07620958
25,159281,1,0.7636299
26,159282,1,0.80877465
27,159283,1,0.72212106
28,159284,1,0.7184233
29,159285,0,0.0047482024
30,159286,1,0.75659895
31,159287,0,0.011742171
32,159288,0,0.27961248
33,159289,1,0.6494161
34,159290,1,0.6116416
35,159291,1,0.5034763
36,159292,0,0.056610342
37,159293,0,0.20979016
38,159294,0,0.25666952
39,159295,1,0.6563402
40,159296,1,0.8788967
41,159297,0,0.0054902583
42,159298,0,0.26784512
43,159299,0,0.001203552
44,159300,0,0.026140075
45,159301,0,0.016214885
46,159302,0,0.116267614
47,159303,0,0.31312627
48,159304,0,0.32687524
49,159305,1,0.7061715
50,159306,1,0.76782995
51,159307,0,0.115533195
52,159308,0,0.36750102
53,159309,0,0.102927305
54,159310,0,0.48429027
55,159311,1,0.65555614
56,159312,0,0.29853216
57,159313,1,0.5360749
58,159314,1,0.6945891
59,159315,1,0.6308692
60,159316,0,0.023221184
61,159317,1,0.62178737
62,159318,0,0.34470436
63,159319,1,0.66210604
64,159320,1,0.71275926
65,159321,0,0.099167705
66,159322,1,0.6512552
67,159323,1,0.6200593
68,159324,0,0.1536769
69,159325,0,0.4866058
70,159326,1,0.63484627
71,159327,1,0.66710347
72,159328,1,0.5556123
73,159329,0,0.41982245
74,159330,0,0.030153686
75,159331,1,0.8491028
76,159332,0,0.017045453
77,159333,0,0.0018167304
78,159334,0,0.3089657
79,159335,0,0.17815112
80,159336,1,0.5032673
81,159337,1,0.7281413
82,159338,0,0.4440598
83,159339,1,0.8927734
84,159340,0,0.33511454
85,159341,1,0.80257756
86,159342,1,0.84597564
87,159343,1,0.5110304
88,159344,0,0.3502252
